								
								
								
								
								
					Pigiste de Blast	Journaliste web France 3	Freelance - Mediapart	Journaliste du Parisien
				Citation	« Tout le monde a ses convictions, tout le monde peut avoir des biais... même dans le choix des sujets. »	« Je travaille pour un média de service public. On n'a pas de pression économique, pas de pression politique. »	« Je vois pas en quoi c'est objectif de mettre des choses qui ne se mettent pas sur le même plan. »	« La neutralité, ce serait faire croire aux lecteurs qu'ils trouveront une enquête approfondie sur la fiscalité de Bernard Arnault dans ses pages. Ça, ce serait mentir. »
								
				Rapport au public	N'écrit pas en pensant à son audience. Satisfait quand lu mais le public n'influence pas le processus d'écriture. Pas de construction de communauté explicite (contrairement au modèle Mediapart).	Lien créé dès le choix du sujet (valeur ajoutée pour le lecteur). Proximité via commentaires en temps réel. Retours critiques sur le traitement = outil de progression professionnelle. Plus grande proximité grâce au web.	Connaissance fragmentaire (messages, proches). Adaptation aux règles du média plutôt qu'au public (Arte vs Konbini). Faible systématisation du retour d'audience. Terrain comme boussole principale, pas le lecteur.	Lui-même non-consommateur de médias (surchauffe informationnelle). Déconnecté de Twitter/X par conviction. Ne se perçoit pas comme la cible du Parisien. Distance forte entre le journaliste et son lectorat.
				Logos ou pathos	Priorité au logos : papiers factuels, comptes rendus de commissions, vérification stricte. Quelques « traits d'esprit » stylistiques.	Priorité affichée aux faits (logos). Pas de construction rhétorique pathos explicite d'après l'enquêtée.	Fort logos : vérification rigoureuse, multi-sources, prudence dans les affirmations. Pathos limité : terrain et témoignages directs, mais pas de rhétorique émotionnelle construite.	Logos maximal et revendiqué : chiffres, statistiques, cartographies, bases institutionnelles. Pas de recours au pathos dans son discours. La donnée comme légitimité absolue. Honnêteté = transparence sur les sources.
				Parole experte	Contradictoire obligatoire. Chercheurs pour sujets hors maîtrise (ex : génétique/anthropologie). Personnes concernées (élus, acteurs directs). Pas de recours systématique aux "tutologues".	Structures reconnues uniquement (labos de recherche). Rejette les chercheurs sans affiliation institutionnelle forte. Risque d'aller vers des « tutologues » disponibles et télévisuels plutôt que des chercheurs rigoureux.	Préfère « chercheurs » aux « experts ». Réseau construit par recommandations + travaux lus. Critique explicite de la logique télévisuelle du « toutolgue disponible en 20 secondes » qui oriente les choix réels.	Sources institutionnelles uniquement (INSEE, IGN, Eurostat, data.gouv.fr). Méfiance envers les données contributives (OpenStreetMap). Sécurité juridique et épistémique via la source qui « porte la responsabilité ».
				Citation	« Quand j'écris, je ne pense pas à mon audience. Ce n'est pas quelque chose qui a réellement une incidence. »	« Si on est juste du bruit parmi le bruit, ça ne sert à rien. »	« Je préfère avoir mes propres sources et lire la situation à travers quelqu'un qui a travaillé des années sur le sujet. »	« On est plus à l'aise à travailler avec des données de l'IGN que d'OpenStreetMap. »
								
				Critique du champs opposé	Biais de traitement structurel sur trois exemples : mort militant identitaire (Lyon), Venezuela, Gaza. Paysage médiatique dominant va "pas dans le bon sens". Ne "met pas tout le monde dans le même panier".	Blast = bon travail d'investigation. Le Média = problématique car créé par Chikirou (proche de Mélenchon) → pression politique d'un parti. Distingue explicitement les deux.	Uniformisation du discours (Gaza). Destruction rapide des rédactions rachetées par Bolloré (Europe 1 en quelques mois, iTele, JDD). Repli massif de la télé sur la France. Canal Plus = exemple de destruction culturelle.	Atterré par la passivité des pouvoirs publics face aux réseaux sociaux puis à l'IA. Abandon de souveraineté numérique. Pression multi-plateforme épuisante pour les rédactions. Presse en perte économique structurelle (3M → 35M€/an perdus).
				Quid de l'évolution du paysage médiatique	Sous pression des attaques d'extrême droite (commission parlementaire en cours). Des améliorations possibles mais sans exemples précis. Distingue chaînes d'info continu vs 20h.	Double tranchant : potentiel de reconstruction de la confiance (baromètre favorable aux indépendants) + risque d'amalgame avec pseudo-journalistes et dévalorisation de la profession.	Blast = indépendant, même niveau que Mediapart. Le Média = trop lié à LFI → refuse d'y collaborer. CNews/JDD = vrais médias militants (idéologie Bolloré).	Fatigue informationnelle personnelle → ne consomme pas d'autres médias. Aucun jugement direct sur Blast ou Le Média. La question de la concurrence du simili-champ est esquivée,
				Citation	« Les médias indépendants, c'est un peu faire entendre un autre son de cloche par rapport à ce qui peut être dit par les grands médias. »	« Blast, c'est un très bon travail d'investigation. Pour Le Média, c'est un peu plus compliqué, puisque créé par une personnalité politique. »	« Le rachat des médias notamment par Bolloré... en 1 mois la rédaction que je connaissais avait disparu. »	« Je suis tout à fait atterré par le temps de stupéfaction de nos pouvoirs publics face aux réseaux sociaux d'abord, l'IA ensuite. »
